name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_common_name	host_subject_id	latitude	longitude	psn	region	sample_type	sequencecenter	title
1928.SRS011287.SRX020664.SRR045439	Sample 1928.SRS011287.SRX020664.SRR045439			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015283	38.98	-77.11	700015283	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011287.SRX020668.SRR045119	Sample 1928.SRS011287.SRX020668.SRR045119			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015283	38.98	-77.11	700015283	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011289.SRX020666.SRR044982	Sample 1928.SRS011289.SRX020666.SRR044982			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015286	38.98	-77.11	700015286	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011289.SRX020669.SRR045353	Sample 1928.SRS011289.SRX020669.SRR045353			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015286	38.98	-77.11	700015286	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011290.SRX020515.SRR045368	Sample 1928.SRS011290.SRX020515.SRR045368			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700015289	38.98	-77.11	700015289	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011292.SRX020515.SRR045374	Sample 1928.SRS011292.SRX020515.SRR045374			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700015292	38.98	-77.11	700015292	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011292.SRX020537.SRR045395	Sample 1928.SRS011292.SRX020537.SRR045395			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700015292	38.98	-77.11	700015292	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011292.SRX020570.SRR047532	Sample 1928.SRS011292.SRX020570.SRR047532			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700015292	38.98	-77.11	700015292	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011293.SRX020515.SRR049319	Sample 1928.SRS011293.SRX020515.SRR049319			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	host-associated habitat		USA	human	700015295	38.98	-77.11	700015295	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011294.SRX020515.SRR045377	Sample 1928.SRS011294.SRX020515.SRR045377			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	host-associated habitat		USA	human	700015298	38.98	-77.11	700015298	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011294.SRX020537.SRR045398	Sample 1928.SRS011294.SRX020537.SRR045398			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	host-associated habitat		USA	human	700015298	38.98	-77.11	700015298	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011294.SRX020570.SRR049323	Sample 1928.SRS011294.SRX020570.SRR049323			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	host-associated habitat		USA	human	700015298	38.98	-77.11	700015298	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
