name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_subject_id	latitude	longitude	psn	region	sample_type	sequencecenter	title	host_common_name
1927.SRS056730.SRX020575.SRR046008	Sample 1927.SRS056730.SRX020575.SRR046008			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700038972	39	-77	700038972	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056751.SRX020531.SRR046034	Sample 1927.SRS056751.SRX020531.SRR046034			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700038606	39	-77	700038606	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056751.SRX020544.SRR045865	Sample 1927.SRS056751.SRX020544.SRR045865			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700038606	39	-77	700038606	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056770.SRX022244.SRR058107	Sample 1927.SRS056770.SRX022244.SRR058107			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700109368	39	-77	700109368	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056779.SRX022156.SRR058115	Sample 1927.SRS056779.SRX022156.SRR058115			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700109143	39	-77	700109143	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056795.SRX020542.SRR046379	Sample 1927.SRS056795.SRX020542.SRR046379			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700106665	39	-77	700106665	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056814.SRX022156.SRR058115	Sample 1927.SRS056814.SRX022156.SRR058115			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700110251	39	-77	700110251	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056832.SRX022241.SRR058097	Sample 1927.SRS056832.SRX022241.SRR058097			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700108058	39	-77	700108058	V3-V1	Stool	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056834.SRX020540.SRR047259	Sample 1927.SRS056834.SRX020540.SRR047259			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700106099	39	-77	700106099	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056867.SRX020567.SRR046771	Sample 1927.SRS056867.SRX020567.SRR046771			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700105900	39	-77	700105900	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056878.SRX020670.SRR046253	Sample 1927.SRS056878.SRX020670.SRR046253			UBERON:vagina	UBERON:mucus	UBERON:posterior fornix of vagina	97	urban biome	human-associated habitat		USA	700105721	39	-77	700105721	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056891.SRX022224.SRR058087	Sample 1927.SRS056891.SRX022224.SRR058087			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700107220	39	-77	700107220	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056913.SRX022225.SRR058088	Sample 1927.SRS056913.SRX022225.SRR058088			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700110339	39	-77	700110339	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056919.SRX022244.SRR058107	Sample 1927.SRS056919.SRX022244.SRR058107			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700108092	39	-77	700108092	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056981.SRX020514.SRR046786	Sample 1927.SRS056981.SRX020514.SRR046786			UBERON:vagina	UBERON:mucus	UBERON:central vagina	97	urban biome	human-associated habitat		USA	700105063	39	-77	700105063	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056981.SRX020550.SRR046439	Sample 1927.SRS056981.SRX020550.SRR046439			UBERON:vagina	UBERON:mucus	UBERON:central vagina	97	urban biome	human-associated habitat		USA	700105063	39	-77	700105063	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS057009.SRX022224.SRR058087	Sample 1927.SRS057009.SRX022224.SRR058087			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700109352	39	-77	700109352	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS057046.SRX020568.SRR049640	Sample 1927.SRS057046.SRX020568.SRR049640			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700106966	39	-77	700106966	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS057051.SRX022241.SRR058097	Sample 1927.SRS057051.SRX022241.SRR058097			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700108519	39	-77	700108519	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS057060.SRX022244.SRR058107	Sample 1927.SRS057060.SRX022244.SRR058107			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700107236	39	-77	700107236	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS057065.SRX020577.SRR044083	Sample 1927.SRS057065.SRX020577.SRR044083			UBERON:vagina	UBERON:mucus	UBERON:central vagina	97	urban biome	human-associated habitat		USA	700106052	39	-77	700106052	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS057069.SRX020531.SRR046048	Sample 1927.SRS057069.SRX020531.SRR046048			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700038614	39	-77	700038614	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS057069.SRX020544.SRR049342	Sample 1927.SRS057069.SRX020544.SRR049342			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700038614	39	-77	700038614	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
